iter	Passed	Remaining
432	1596	2090
433	1600	2087
434	1604	2083
435	1607	2079
436	1611	2076
437	1615	2072
438	1618	2068
439	1621	2064
440	1625	2059
441	1628	2056
442	1632	2052
443	1636	2049
444	1639	2044
445	1643	2041
446	1646	2037
447	1649	2032
448	1653	2029
449	1657	2025
450	1660	2021
451	1664	2017
452	1669	2015
453	1673	2012
454	1677	2009
455	1682	2006
456	1685	2002
457	1688	1998
458	1692	1994
459	1696	1990
460	1700	1987
461	1703	1983
462	1706	1979
463	1710	1975
464	1713	1971
465	1717	1967
466	1720	1963
467	1724	1959
468	1727	1955
469	1731	1951
470	1734	1947
471	1737	1943
472	1741	1939
473	1744	1935
474	1747	1931
475	1751	1928
476	1754	1924
477	1758	1920
478	1761	1916
479	1765	1912
480	1768	1908
481	1771	1904
482	1776	1901
483	1781	1899
484	1784	1895
485	1788	1891
486	1793	1889
487	1797	1885
488	1801	1882
489	1805	1879
490	1808	1875
491	1812	1871
492	1816	1868
493	1821	1865
494	1825	1862
495	1829	1859
496	1832	1854
497	1836	1851
498	1839	1847
499	1843	1843
500	1846	1839
501	1850	1835
502	1854	1832
503	1857	1828
504	1861	1824
505	1864	1820
506	1868	1816
507	1872	1813
508	1876	1810
509	1881	1807
510	1885	1804
511	1888	1800
512	1892	1797
513	1896	1793
514	1899	1789
515	1903	1785
516	1906	1780
517	1909	1777
518	1913	1773
519	1916	1769
520	1919	1764
521	1922	1760
522	1926	1756
523	1929	1752
524	1933	1748
525	1936	1744
526	1939	1740
527	1942	1736
528	1946	1732
529	1949	1728
530	1952	1724
531	1955	1720
532	1959	1716
533	1962	1712
534	1965	1708
535	1968	1704
536	1971	1700
537	1975	1696
538	1978	1692
539	1982	1688
540	1985	1684
541	1988	1680
542	1992	1676
543	1995	1672
544	1998	1668
545	2002	1664
546	2005	1661
547	2009	1657
548	2013	1653
549	2016	1649
550	2019	1645
551	2023	1641
552	2026	1638
553	2030	1634
554	2033	1630
555	2036	1626
556	2040	1622
557	2043	1619
558	2047	1614
559	2050	1611
560	2053	1607
561	2057	1603
562	2060	1599
563	2064	1595
564	2067	1591
565	2070	1587
566	2075	1584
567	2079	1581
568	2085	1579
569	2092	1578
570	2098	1576
571	2102	1573
572	2106	1569
573	2109	1565
574	2113	1562
575	2116	1558
576	2120	1554
577	2123	1550
578	2127	1546
579	2130	1542
580	2133	1538
581	2137	1535
582	2140	1531
583	2144	1527
584	2147	1523
585	2150	1519
586	2153	1515
587	2157	1511
588	2160	1507
589	2164	1503
590	2167	1499
591	2170	1495
592	2173	1491
593	2177	1488
594	2180	1484
595	2183	1480
596	2186	1476
597	2190	1472
598	2193	1468
599	2197	1464
600	2200	1460
601	2203	1456
602	2207	1453
603	2211	1449
604	2214	1445
605	2217	1441
606	2221	1438
607	2224	1434
608	2227	1430
609	2230	1426
610	2234	1422
611	2237	1418
612	2241	1415
613	2244	1411
614	2248	1407
615	2251	1403
616	2254	1399
617	2257	1395
618	2261	1391
619	2264	1388
620	2268	1384
621	2271	1380
622	2275	1376
623	2279	1373
624	2283	1370
625	2287	1366
626	2291	1363
627	2295	1359
628	2298	1355
629	2302	1352
630	2305	1348
631	2309	1344
632	2313	1341
633	2316	1337
634	2319	1333
635	2323	1329
636	2326	1325
637	2330	1322
638	2333	1318
639	2336	1314
640	2340	1310
641	2343	1307
642	2347	1303
643	2350	1299
644	2354	1295
645	2357	1291
646	2361	1288
647	2364	1284
648	2367	1280
649	2371	1276
650	2374	1273
651	2378	1269
652	2381	1265
653	2384	1261
654	2388	1258
655	2391	1254
656	2395	1250
657	2398	1246
658	2401	1242
659	2405	1238
660	2409	1235
661	2412	1231
662	2415	1227
663	2419	1224
664	2422	1220
665	2425	1216
666	2429	1212
667	2432	1209
668	2435	1205
669	2438	1201
670	2442	1197
671	2445	1193
672	2448	1189
673	2452	1186
674	2455	1182
675	2459	1178
676	2462	1175
677	2466	1171
678	2469	1167
679	2473	1163
680	2476	1159
681	2480	1156
682	2484	1153
683	2488	1149
684	2493	1146
685	2497	1142
686	2500	1139
687	2504	1135
688	2508	1132
689	2511	1128
690	2514	1124
691	2518	1120
692	2521	1116
693	2524	1113
694	2528	1109
695	2531	1105
696	2534	1101
697	2538	1098
698	2541	1094
699	2544	1090
